[24.79488754272461, -23.741546630859375]
[26.087940216064453, -20.5516357421875]
[26.126129150390625, -20.665925979614258]
[26.058185577392578, -20.658111572265625]
[26.050559997558594, -20.507747650146484]
[26.061540603637695, -20.617584228515625]
[26.060901641845703, -20.591575622558594]
[26.054689407348633, -20.58839225769043]
[26.02507209777832, -20.532499313354492]
[25.99579620361328, -20.554691314697266]
[25.983997344970703, -20.532644271850586]
[26.106746673583984, -20.6621036529541]
[26.01343536376953, -20.512807846069336]
[26.1046085357666, -20.683664321899414]
[26.117725372314453, -20.670562744140625]
[26.045568466186523, -20.665870666503906]
[26.050148010253906, -20.562191009521484]
[26.034029006958008, -20.551891326904297]
[25.990419387817383, -23.593673706054688]
[25.934215545654297, -23.646215438842773]
[25.767333984375, -23.606212615966797]
[25.882705688476562, -23.639448165893555]
[24.976789474487305, -23.708959579467773]
[25.061906814575195, -23.666439056396484]
[25.45566177368164, -23.647157669067383]
[25.735584259033203, -23.69252586364746]
[25.214710235595703, -23.70256805419922]
[26.197181701660156, -23.74372100830078]
[25.051523208618164, -23.771865844726562]
[25.18671226501465, -23.777618408203125]
[25.44020652770996, -23.70085906982422]
[25.03183937072754, -23.82228660583496]
[24.858203887939453, -23.943029403686523]
[25.01652717590332, -23.854366302490234]
[25.23911476135254, -23.79014015197754]
[25.745576858520508, -23.668272018432617]
[26.66770362854004, -36.47005844116211]
[30.868566513061523, -36.028324127197266]
[30.821313858032227, -35.91331100463867]
[30.794166564941406, -35.871177673339844]
[30.856170654296875, -35.973060607910156]
[30.828718185424805, -35.92522430419922]
[24.809917449951172, -36.538970947265625]
[31.166648864746094, -32.55674743652344]
[54.146461486816406, 5.553927421569824]
[54.12569046020508, 5.575135231018066]
[54.130615234375, 5.568743705749512]
[54.125587463378906, 5.576163291931152]
[54.1287841796875, 5.571053504943848]
[54.13765335083008, 5.565106391906738]
[54.132625579833984, 5.568279266357422]
[54.12409210205078, 5.573635101318359]
[54.16839599609375, 5.53688383102417]
[24.39861488342285, -37.4332275390625]
[16.691547393798828, 55.82704544067383]
[41.88035583496094, 13.778458595275879]
[16.9332275390625, 54.145904541015625]
[16.920339584350586, 54.238887786865234]
[41.69525909423828, 13.878467559814453]
[42.53071975708008, 14.038002967834473]
[41.71851348876953, 13.502503395080566]
[42.08230972290039, 13.657827377319336]
[16.944637298583984, 54.35676193237305]
[42.227256774902344, 13.86771297454834]
[41.59880065917969, 13.501952171325684]
[42.587562561035156, 14.106399536132812]
[42.65713119506836, 14.175627708435059]
[42.018707275390625, 13.417304992675781]
[16.830415725708008, 55.687259674072266]
[17.05780792236328, 55.34733200073242]
[16.937788009643555, 55.12315368652344]
[42.36316680908203, 13.895076751708984]
[29.115802764892578, -28.66066551208496]
[29.093128204345703, -28.646785736083984]
[29.31627655029297, -28.747785568237305]
[29.38162612915039, -28.762405395507812]
[29.05898666381836, -28.631311416625977]
[28.90480613708496, -28.57809066772461]
[29.021615982055664, -28.617469787597656]
[29.33879852294922, -28.6814022064209]
[29.171735763549805, -28.687593460083008]
[29.061176300048828, -28.624879837036133]
[29.14340591430664, -28.675819396972656]
[29.161422729492188, -28.702373504638672]
[29.084583282470703, -28.648649215698242]
[29.15553092956543, -28.67829132080078]
[29.06903648376465, -28.6451358795166]
[29.064558029174805, -28.650415420532227]
[29.875457763671875, -28.76797103881836]
[19.353376388549805, -12.071603775024414]
[19.2752742767334, -12.165421485900879]
[19.273529052734375, -12.181270599365234]
[19.29196548461914, -12.175040245056152]
[19.29929542541504, -12.180951118469238]
[19.249900817871094, -12.23077392578125]
[19.231273651123047, -12.229338645935059]
[19.2474308013916, -12.225543022155762]
[19.270671844482422, -12.2102632522583]
[19.24883460998535, -12.223474502563477]
[19.255468368530273, -12.229143142700195]
[19.23419761657715, -12.235086441040039]
[19.2639217376709, -12.204913139343262]
[19.250835418701172, -12.230935096740723]
[19.243450164794922, -12.235967636108398]
[19.21855354309082, -12.253273010253906]
[19.264781951904297, -12.217201232910156]
[19.094829559326172, -12.415828704833984]
[13.840102195739746, -18.945938110351562]
[-13.509525299072266, -29.918725967407227]
[-13.454930305480957, -29.352108001708984]
[-13.353092193603516, -29.315752029418945]
[-13.555171012878418, -29.606042861938477]
[-13.533308982849121, -29.347156524658203]
[-13.608011245727539, -29.354900360107422]
[-13.594437599182129, -29.34607696533203]
[-13.624987602233887, -29.381649017333984]
[-13.54502010345459, -29.317289352416992]
[-13.610990524291992, -29.33865737915039]
[-13.553528785705566, -29.294010162353516]
[-13.573468208312988, -29.34417724609375]
[-13.58739185333252, -29.336027145385742]
[-13.580442428588867, -29.32986831665039]
[-13.583793640136719, -29.34182357788086]
[-13.593117713928223, -29.345117568969727]
[-13.535759925842285, -29.34419059753418]
[18.754579544067383, -12.817347526550293]
[19.91341781616211, -11.622675895690918]
[18.703378677368164, -12.882162094116211]
[19.836456298828125, -11.614309310913086]
[18.86840057373047, -12.747748374938965]
[18.86018943786621, -12.665285110473633]
[19.7188720703125, -11.855923652648926]
[18.71293830871582, -12.881514549255371]
[19.712421417236328, -11.750012397766113]
[18.855226516723633, -12.739954948425293]
[18.94793128967285, -12.57567024230957]
[19.77506446838379, -11.575922012329102]
[18.741222381591797, -12.924839973449707]
[19.152204513549805, -12.352494239807129]
[19.81024169921875, -11.80768871307373]
[17.449886322021484, -17.793291091918945]
[19.045299530029297, -12.630372047424316]
[0.31370681524276733, -19.253437042236328]
[4.319271564483643, -56.22227096557617]
[1.9675830602645874, -27.167387008666992]
[39.27312088012695, 11.187984466552734]
[39.271053314208984, 11.274438858032227]
[0.4230267405509949, -59.17396926879883]
[0.41327473521232605, -59.18208312988281]
[0.430247038602829, -59.17634582519531]
[0.41973739862442017, -59.17908477783203]
[0.4342981278896332, -59.176719665527344]
[0.4432755410671234, -59.1745491027832]
[0.42896705865859985, -59.17723846435547]
[0.4178485572338104, -59.17982864379883]
[0.4227479100227356, -59.17906188964844]
[0.4108349084854126, -59.18179702758789]
[0.43809542059898376, -59.17578887939453]
[0.43020135164260864, -59.175743103027344]
[0.42968133091926575, -59.17701721191406]
[0.26675543189048767, -18.65447425842285]
[7.436641693115234, 9.961077690124512]
[8.086585998535156, 10.808887481689453]
[8.067193984985352, 10.746529579162598]
[7.7712249755859375, 10.979740142822266]
[7.616925239562988, 11.208449363708496]
[7.805603981018066, 11.204376220703125]
[7.338123798370361, 10.974686622619629]
[7.312616348266602, 10.985137939453125]
[7.451284885406494, 11.116475105285645]
[7.343594074249268, 10.957193374633789]
[8.160907745361328, 10.782439231872559]
[7.373763561248779, 10.075315475463867]
[8.079330444335938, 10.762032508850098]
[7.866325855255127, 10.834492683410645]
[7.932292461395264, 11.00124740600586]
[7.37484073638916, 9.955946922302246]
[7.933354377746582, 10.752070426940918]
[17.936426162719727, 1.7164112329483032]
[18.202791213989258, 3.0233066082000732]
[18.213890075683594, 2.9234731197357178]
[16.995113372802734, 1.9363648891448975]
[16.99333953857422, 1.9173446893692017]
[32.407405853271484, 3.5252366065979004]
[32.3818473815918, 3.736990451812744]
[32.413902282714844, 3.515652894973755]
[32.50185775756836, 3.6837778091430664]
[32.38998031616211, 3.438361406326294]
[32.40955352783203, 3.502333164215088]
[32.38468551635742, 3.4292900562286377]
[32.43077087402344, 3.573904275894165]
[32.377925872802734, 3.376028299331665]
[32.446006774902344, 3.5940325260162354]
[32.44203567504883, 3.7229411602020264]
[32.38249206542969, 3.749307155609131]
[32.36973190307617, 3.4034247398376465]
[8.335501670837402, -0.6390563249588013]
[11.351643562316895, 9.741303443908691]
[11.525376319885254, 9.719419479370117]
[11.078502655029297, 9.961935043334961]
[11.268280982971191, 10.10852336883545]
[11.316339492797852, 10.127312660217285]
[11.349617958068848, 9.97868537902832]
[11.443073272705078, 10.07122802734375]
[-0.6194861531257629, 4.613503456115723]
[10.776274681091309, 9.432462692260742]
[11.180416107177734, 11.507589340209961]
[11.196672439575195, 11.600907325744629]
[11.215432167053223, 11.621833801269531]
[11.120087623596191, 11.604009628295898]
[11.183805465698242, 11.627153396606445]
[11.182870864868164, 11.615854263305664]
[11.122050285339355, 11.605659484863281]
[11.12481689453125, 11.619516372680664]
[8.733696937561035, 7.085505485534668]
[8.79375171661377, 7.115537166595459]
[8.530645370483398, 7.731139659881592]
[10.265365600585938, 9.146563529968262]
[10.225835800170898, 9.173973083496094]
[10.247464179992676, 9.196905136108398]
[10.263187408447266, 9.158757209777832]
[10.513394355773926, 9.326831817626953]
[10.239713668823242, 9.151009559631348]
[10.29857349395752, 9.237997055053711]
[10.259066581726074, 9.148478507995605]
[10.38200855255127, 9.23038387298584]
[10.303559303283691, 9.13286018371582]
[10.354108810424805, 9.119670867919922]
[10.255910873413086, 9.140408515930176]
[10.353475570678711, 9.245007514953613]
[10.284783363342285, 9.218119621276855]
[10.531978607177734, 9.245404243469238]
[38.448001861572266, -4.60469913482666]
[38.41783142089844, -4.667223930358887]
[38.45722198486328, -4.614465236663818]
[38.357444763183594, -4.64206600189209]
[38.47978210449219, -4.6650710105896]
[38.40679931640625, -4.643455505371094]
[38.43226623535156, -4.6473259925842285]
[38.424163818359375, -4.615239143371582]
[38.33908462524414, -4.6714043617248535]
[38.40810775756836, -4.630578517913818]
[38.38344955444336, -4.68201208114624]
[38.396209716796875, -4.67100715637207]
[38.38615417480469, -4.680838584899902]
[38.42143630981445, -4.616544723510742]
[38.3900260925293, -4.622148036956787]
[38.415184020996094, -4.6350417137146]
[38.39973068237305, -4.642052173614502]
[8.34565544128418, 0.8971295356750488]
[0.5549915432929993, 1.0161161422729492]
[1.7747993469238281, -0.7974605560302734]
[-6.821054935455322, 5.348485469818115]
[8.512170791625977, 7.723753452301025]
[8.647459983825684, 7.274020195007324]
[-6.776410102844238, 5.291449069976807]
[8.49062728881836, 7.558084964752197]
[8.4927978515625, 7.67271089553833]
[8.494800567626953, 7.734909534454346]
[-6.665194034576416, 5.350437164306641]
[-3.1370744705200195, 6.954715251922607]
[-3.2258973121643066, 6.936280727386475]
[-3.034285068511963, 7.0607123374938965]
[-3.1573967933654785, 7.02616024017334]
[-3.302036762237549, 7.052531719207764]
[-3.094248056411743, 7.091536521911621]
[-3.217146873474121, 7.068421840667725]
[-2.794055223464966, 5.923627853393555]
[-7.718965530395508, 2.6425228118896484]
[-2.661648988723755, 7.311515808105469]
[-2.4576189517974854, 7.343809127807617]
[-2.4426305294036865, 7.347368240356445]
[-2.455641984939575, 7.347024917602539]
[-2.504270315170288, 7.344341278076172]
[-2.4975509643554688, 7.333354473114014]
[-2.4425361156463623, 7.34892463684082]
[-2.4515199661254883, 7.353397369384766]
[-2.503744602203369, 7.352388381958008]
[-2.448681354522705, 7.349100589752197]
[-3.2035412788391113, 7.194703102111816]
[-3.0207760334014893, 7.255042552947998]
[-2.8937766551971436, 7.511529445648193]
[-2.7679405212402344, 7.503840923309326]
[-2.906553030014038, 7.534897804260254]
[-2.927065849304199, 7.5245161056518555]
[-4.22636079788208, 8.084860801696777]
[-4.431271076202393, 8.034793853759766]
[-4.562503337860107, 7.9530029296875]
